Galaxy,Chi2_NFW,Chi2_LogSVT,b0_m,chi,k1,k2,a1_tilde,a2_tilde,Mass_Msun
UGC04483,0.6486198234824511,1.5139752156901665,296.992710462864,1.0413332286064348e-10,0.5443158555330498,0.49998102343413703,-99.99952859726159,5e-26,57645144.86469143
UGC04499,1.6236675939672198,1.332701928881734,1318.4350760357804,5.57999655451871e-29,3.86114013577406e-42,0.06278381671830316,-99.99999777297099,5e-26,4068151088.0255575
UGC05005,0.7260695787527786,0.026117327925384487,3390.1217116864427,3.040008191242253e-09,2.8981409023555266e-12,0.005202947188127522,-99.98750880578181,5e-26,14562953051.331
UGC05253,138.86913004317105,,,,,,,,208810225789.42596
UGC05414,2.7852238790010015,inf,1394.2412178901018,2.3508934131023885e-09,4.8871386634631054e-11,0.04632963479482042,-99.76156072737979,5e-26,1646181565.9941733
UGC05716,2.3319904841074584,1.825864540097398,1342.4556597956982,0.7590572124183156,3.8409633036643536e-05,0.03780861509208628,-99.99668552033508,5e-26,2840669600.8519125
UGC05721,1.3169860868117125,0.7545401381107127,1632.1288782528395,0.023157048373827076,2.4265539189515884e-09,0.49999999999999994,-99.99999817082596,5e-26,1486828100.0997467
UGC05750,0.8349058559611325,0.09497768809072349,1826.6335400098583,0.006069126974319302,3.942740778392761e-06,0.015717551159526257,-99.99975132555069,5e-26,11005393816.657406
UGC05764,6.686601022602636,10.696352891523652,1012.8609985854291,1.2547948570464812e-09,0.6590137445588938,0.4999999999931876,-99.99999961863602,5e-26,429347044.23017454
UGC05829,0.12113661002685644,0.12026395963041892,2561.7014185190546,2.8819771513840804e-36,0.05466400258133729,0.003238355884533705,99.99877458742733,5e-26,2580460550.6741605
UGC05918,0.12316630411064251,0.07840390492351558,349.37590906796197,6.417670032896923e-14,0.12097438614432901,0.49999999999999994,36.07516582042634,5e-26,551885166.6275277
UGC05986,5.473507986137881,1.4490382902308585,3409.573565344293,3.6102026385559863e-06,3.4273131125450546e-06,0.04992404306253716,-99.99217844890596,5e-26,6846813326.947087
UGC05999,3.495438991665783,inf,2884.4276544456843,2.8324143880436304e-07,8.250559158478632e-08,0.012531912186364354,-99.99099309652004,5e-26,12545410517.774147
UGC06399,0.5280103798288148,0.09788937187022188,1900.930057308151,3.239575152289445e-07,5.912091856939903e-06,0.06328469936286976,-99.99984205054729,5e-26,4232123759.855472
UGC06446,0.20316791189261416,0.25135269123566234,1630.5044171723946,2.627419064753791e-22,0.3731490567708945,0.16366597877454653,-14.516422151127891,5e-26,3711001712.6608095
UGC06614,12.003580285678169,14.608216898123597,2537.279459397101,2.7990862727974158e-11,1.2555397979949737e-07,0.0015195067492165832,99.920165065583,5e-26,183153545591.51437
UGC06628,1.334188905227005,1.439010224273732,1.4406381088773705,3.6363679220940367e-16,4.3898211706502257e-07,1.2509798810336362e-15,-99.99999400012899,5e-26,5667867984.449804
UGC06667,1.2776358078429524,0.23444798471290396,2007.7212637030852,0.08472531285684651,9.481167509006915e-11,0.10215473322039892,-99.99999999995732,5e-26,2143311313.1872096
UGC06786,12.14118840773555,43.22924211319749,4999.96381135934,0.9999999978839245,1.5806686438055514e-10,0.01924002079406236,99.96783702252013,5e-26,83343078157.87822
UGC06787,61.229636005035125,,,,,,,,112547366042.53519
UGC06818,7.051036511052054,8.90079593374749,4999.997628568782,8.558715774944716e-22,1.5105899847544376e-24,0.005721988397206825,-99.99999450451347,5e-26,2669350995.021984
UGC06917,1.3311843149807752,0.7843473774790606,2505.2560299893444,5.374764907426375e-08,6.801114571381065e-06,0.038891704657255534,-99.98638068307699,5e-26,12126796417.269833
UGC06923,2.4631275908269497,inf,2383.761199859545,3.103631479152866e-11,4.511233235474602e-13,0.024358501964834075,-99.99474257462705,5e-26,4368763607.701627
UGC06930,0.3564089067357037,0.42928558919630855,1374.503384100724,7.520430499653102e-15,4.940236651015425e-10,0.0723112050558026,99.99970121470909,5e-26,16495609892.79013
UGC06973,502.1564647535429,1160.2841496941592,7.096355728207839,3.590763883046461e-15,1.610044061479736e-06,6.913093632712912e-23,-99.99969522046727,5e-26,58374156781.93685
UGC06983,0.7208318343971583,0.5629103537348776,2641.519643994676,1.48669759957952e-07,1.3725845057577545e-08,0.05981111417743639,-99.76869494461693,5e-26,11689730911.83029
UGC07089,1.2979034638584448,0.23098713634322787,3981.395201822889,0.010295826491656859,4.959768018675169e-10,0.004321141578415479,-99.12831677963484,5e-26,5893553596.796957
UGC07125,1.2301456245538391,0.5114010907353629,1146.75780501042,4.315298199689699e-06,4.1680427320879094e-07,0.015221000223092111,-99.99953559439179,5e-26,8127616571.376756
UGC07151,1.9421383625039585,1.3225912858263915,897.1023466970933,1.1950841274628645e-43,9.161399805791739e-25,0.20213816962471157,-99.99999987880739,5e-26,3950921037.640872
UGC07232,4.131237041479006,inf,4999.99998551881,4.022013851717721e-30,5.052525692548143e-35,0.08292395902325651,-99.99999999998762,5e-26,143672287.4926469
UGC07261,0.34208311134104885,0.27307868447206296,1907.5705877864332,0.6763465524892956,3.612854227665516e-17,0.01625620033771589,-99.99886646500813,5e-26,3286114281.861281
UGC07323,1.6741987000203273,0.4909990851159876,4999.216863546383,0.0013388197878829563,9.787502481636953e-19,0.006191047759432009,-99.99996932514273,5e-26,6129998685.394487
UGC07399,1.2794097206715689,0.6178273290717412,2187.6339137256,7.597755933773326e-09,0.06429712927931255,0.38681372440231626,99.99999853619424,5e-26,2304541980.6506066
UGC07524,0.9396579753310874,0.24145216094198652,1481.2095096700295,3.529287692765177e-18,0.024740005281841473,0.062318795050773645,-99.99999814017734,5e-26,6618483772.03894
UGC07559,0.807564616655492,0.6380984005846534,438.7083689901116,2.7380075882757722e-39,3.748172745887022e-42,0.14419202354824562,-99.99999959113369,5e-26,299961217.9748007
UGC07577,0.3987183027890001,0.3342484597437192,4195.687846058074,0.0028274052231677745,7.371089658931637e-49,0.003874977312626358,-99.99999999999999,5e-26,88046598.7430567
UGC07603,1.9180534827839248,0.6332916978247365,1155.864082603052,3.0198192070140743e-12,2.9960434975808714e-08,0.2555727301646792,-99.99996896162071,5e-26,698064518.2066122
